N,P,K,pH,soil_moisture,temperature,stress_type
77.0,36.0,37.0,6.136131869,87,18.31,healthy
81.0,41.0,38.0,7.524080076,22,18.46,ph_stress_alkaline
68.0,57.0,43.0,5.706943251,77,18.62,healthy
72.0,45.0,35.0,5.758506323,45,18.72,healthy
61.0,53.0,43.0,6.349606327,84,18.81,healthy
67.0,43.0,39.0,5.999969026,12,19.04,water_stress
67.0,58.0,39.0,5.453592032,17,19.27,ph_stress_acidic
66.0,60.0,38.0,6.372576327,12,19.36,water_stress
82.0,43.0,38.0,5.105588355,6,19.45,ph_stress_acidic
84.0,50.0,44.0,5.935344406,21,19.42,healthy
81.0,53.0,42.0,5.17782304,71,19.38,ph_stress_acidic
91.0,50.0,40.0,6.462391607,17,19.33,healthy
93.0,53.0,38.0,7.069172227,67,19.28,healthy
90.0,44.0,38.0,7.473134377,34,19.24,ph_stress_alkaline
81.0,45.0,35.0,6.158376967,68,19.19,healthy
78.0,40.0,38.0,7.549873681,52,19.26,ph_stress_alkaline
60.0,51.0,36.0,6.028321558,80,19.32,healthy
88.0,46.0,42.0,6.604993475,11,19.6,water_stress
93.0,47.0,37.0,6.500343222,63,19.89,healthy
60.0,55.0,45.0,5.935745417,88,20.28,healthy
78.0,35.0,44.0,7.072655622,79,20.68,healthy
65.0,37.0,40.0,5.333322606,2,21.21,ph_stress_acidic
71.0,54.0,16.0,5.749914421,49,21.74,potassium_deficiency
61.0,44.0,17.0,6.931756558,64,22.44,potassium_deficiency
80.0,43.0,16.0,6.657964753,71,23.13,potassium_deficiency
73.0,58.0,21.0,6.596060648,51,23.76,healthy
61.0,38.0,20.0,5.970458434,67,24.4,healthy
68.0,41.0,16.0,6.158830619,12,25.04,potassium_deficiency
93.0,41.0,17.0,6.047906679,67,25.67,potassium_deficiency
89.0,60.0,19.0,5.913664501,54,26.3,healthy
76.0,44.0,17.0,5.855442401,49,26.94,potassium_deficiency
67.0,60.0,25.0,5.750254943,24,27.38,healthy
70.0,44.0,19.0,5.852607099,27,27.83,healthy
90.0,49.0,21.0,6.472523287,50,28.14,healthy
62.0,52.0,16.0,6.967057762,51,28.46,potassium_deficiency
92.0,44.0,16.0,6.082973754,38,28.94,potassium_deficiency
66.0,54.0,21.0,5.919045532,23,29.42,healthy
63.0,58.0,22.0,6.204747653,27,29.82,healthy
70.0,47.0,17.0,6.600827017,72,30.22,potassium_deficiency
61.0,41.0,17.0,6.021902237,89,30.54,potassium_deficiency
66.0,53.0,19.0,6.033550195,36,30.86,healthy
74.0,55.0,19.0,6.28886807,4,31.27,water_stress
77.0,57.0,21.0,6.550563823,21,31.69,healthy
99.0,50.0,15.0,5.573286437,8,32.1,potassium_deficiency
74.0,56.0,22.0,6.829199275,5,32.51,water_stress
83.0,45.0,21.0,5.716222912,1,32.93,water_stress
100.0,48.0,16.0,5.54990242,2,33.34,potassium_deficiency
79.0,51.0,16.0,6.586244581,63,33.28,potassium_deficiency
94.0,39.0,18.0,5.893093135,17,33.23,potassium_deficiency
75.0,49.0,15.0,5.918263801,33,33.62,potassium_deficiency
78.0,48.0,22.0,5.588650585,21,34.01,ph_stress_acidic
87.0,54.0,20.0,6.576418207,84,34.36,healthy
87.0,35.0,25.0,6.178056304,35,34.71,healthy
63.0,43.0,19.0,6.641906353,81,35.04,healthy
84.0,57.0,25.0,6.489040367,44,35.37,healthy
64.0,35.0,23.0,5.680361038,53,35.04,healthy
60.0,46.0,22.0,6.625404348,25,34.71,healthy
98.0,44.0,21.0,6.524478032,22,35.13,healthy
75.0,56.0,18.0,5.696205468,57,35.55,potassium_deficiency
86.0,55.0,21.0,6.803931519,15,35.55,healthy
98.0,35.0,18.0,6.252797548,33,35.55,potassium_deficiency
76.0,57.0,18.0,6.092725883,20,36.0,potassium_deficiency
99.0,56.0,17.0,6.234330356,52,36.46,potassium_deficiency
60.0,44.0,23.0,5.722579819,47,36.39,healthy
74.0,48.0,17.0,6.430616465,63,36.33,potassium_deficiency
89.0,60.0,17.0,5.983952675,48,36.33,potassium_deficiency
69.0,51.0,23.0,6.80163854,15,36.32,healthy
96.0,46.0,22.0,6.499936446,87,36.32,healthy
61.0,60.0,15.0,6.265564338,30,36.31,potassium_deficiency
74.0,58.0,18.0,6.727303282,89,36.53,potassium_deficiency
63.0,43.0,17.0,6.807487794,87,37.06,potassium_deficiency
60.0,38.0,17.0,6.474476516,84,37.6,potassium_deficiency
94.0,54.0,17.0,5.871647806,90,37.17,potassium_deficiency
84.0,44.0,21.0,5.850439831,29,36.15,healthy
77.0,58.0,19.0,5.791649933,65,35.44,healthy
66.0,44.0,20.0,6.740000688,70,34.72,healthy
63.0,35.0,16.0,6.272417541,70,34.78,potassium_deficiency
79.0,45.0,20.0,5.715208817,6,34.85,water_stress
72.0,60.0,25.0,5.773454729,86,34.93,healthy
67.0,51.0,24.0,5.584171461,90,35.01,ph_stress_acidic
86.0,36.0,24.0,5.787268394,22,35.45,healthy
76.0,48.0,18.0,5.77597783,7,35.89,potassium_deficiency
75.0,53.0,18.0,6.864793607,73,36.3,potassium_deficiency
71.0,35.0,24.0,5.826426917,2,36.83,water_stress
99.0,39.0,18.0,6.11275104,31,36.56,potassium_deficiency
62.0,48.0,20.0,6.708446922,4,36.36,water_stress
86.0,37.0,16.0,5.561510732,71,36.15,potassium_deficiency
94.0,50.0,19.0,5.873242491,74,36.2,healthy
76.0,39.0,24.0,6.995843776,58,36.25,healthy
77.0,52.0,17.0,5.714799723,76,36.12,potassium_deficiency
74.0,39.0,23.0,6.78073637,78,36.0,healthy
81.0,49.0,20.0,5.513697923,5,35.88,ph_stress_acidic
63.0,42.0,21.0,5.798423908,8,35.75,water_stress
99.0,38.0,21.0,6.352471866,31,35.59,healthy
90.0,52.0,25.0,6.822586546,30,35.43,healthy
68.0,40.0,19.0,6.655426355,58,35.48,healthy
60.0,57.0,24.0,6.121294041,28,35.52,healthy
71.0,52.0,18.0,5.790770203,19,35.52,potassium_deficiency
61.0,59.0,17.0,6.47444292,26,35.52,potassium_deficiency
88.0,38.0,15.0,6.455116637,51,35.42,potassium_deficiency
65.0,60.0,22.0,6.606984086,4,35.33,water_stress
78.0,37.0,22.0,6.330554389,80,35.24,healthy
78.0,58.0,15.0,6.528631266,68,35.15,potassium_deficiency
92.0,60.0,23.0,5.721667141,8,35.34,water_stress
79.0,59.0,17.0,6.644205485,53,35.52,potassium_deficiency
91.0,55.0,15.0,6.376651091,79,35.53,potassium_deficiency
76.0,51.0,18.0,6.247040422,68,35.55,potassium_deficiency
87.0,48.0,25.0,6.656730008,76,35.4,healthy
71.0,60.0,22.0,6.2048017,34,35.25,healthy
90.0,57.0,24.0,6.158860284,28,35.35,healthy
67.0,35.0,22.0,6.385684214,62,35.24,healthy
60.0,54.0,19.0,6.417820493,88,35.13,healthy
83.0,58.0,23.0,6.381201909,1,35.03,water_stress
83.0,57.0,19.0,6.877869005,25,34.92,healthy
40.0,72.0,77.0,7.485996067,40,34.83,ph_stress_alkaline
23.0,72.0,84.0,6.920251378,77,34.73,healthy
39.0,58.0,85.0,5.996932037,66,34.74,healthy
22.0,72.0,85.0,6.391173589,52,34.76,healthy
36.0,67.0,77.0,7.152811172,84,34.7,healthy
32.0,73.0,81.0,5.988992796,26,34.63,healthy
58.0,70.0,84.0,6.231049028,38,34.56,healthy
59.0,70.0,84.0,7.550808267,48,34.49,ph_stress_alkaline
42.0,62.0,75.0,7.010570541,12,34.48,water_stress
28.0,74.0,81.0,8.753795334,51,34.46,ph_stress_alkaline
58.0,66.0,79.0,8.718192847,83,34.26,ph_stress_alkaline
43.0,66.0,79.0,7.976607593,64,34.07,ph_stress_alkaline
58.0,63.0,81.0,6.515499549,35,33.83,healthy
23.0,62.0,85.0,8.490127142,81,33.58,ph_stress_alkaline
27.0,62.0,77.0,6.576415562,47,33.44,healthy
28.0,72.0,84.0,6.481783043,18,33.31,healthy
50.0,56.0,76.0,7.966605025,54,33.13,ph_stress_alkaline
39.0,71.0,84.0,8.140825437,60,32.95,ph_stress_alkaline
25.0,78.0,76.0,7.228963452,20,32.82,healthy
31.0,70.0,77.0,6.492546046,39,32.69,healthy
26.0,80.0,83.0,7.528599957,19,32.64,ph_stress_alkaline
25.0,68.0,77.0,7.701446446,61,32.59,ph_stress_alkaline
31.0,78.0,76.0,8.519975748,40,32.45,ph_stress_alkaline
60.0,68.0,83.0,6.620900869,37,32.3,healthy
59.0,62.0,83.0,8.104396058,61,32.16,ph_stress_alkaline
22.0,67.0,78.0,6.204090835,70,32.02,healthy
36.0,65.0,80.0,6.051091339,40,31.87,healthy
59.0,60.0,84.0,7.690962338,84,31.73,ph_stress_alkaline
54.0,77.0,85.0,7.829211144,60,31.54,ph_stress_alkaline
43.0,68.0,81.0,6.761599706,5,31.34,water_stress
28.0,76.0,82.0,6.654425315,8,31.15,water_stress
42.0,79.0,85.0,6.129533877,58,30.96,healthy
32.0,60.0,83.0,8.829273328,1,30.75,ph_stress_alkaline
22.0,78.0,76.0,8.621662982,65,30.54,ph_stress_alkaline
31.0,79.0,75.0,8.204862075,50,30.44,ph_stress_alkaline
28.0,58.0,81.0,6.18042747,2,30.35,water_stress
57.0,58.0,77.0,7.978996755,28,30.13,ph_stress_alkaline
49.0,55.0,78.0,7.863113671,56,29.91,ph_stress_alkaline
46.0,76.0,77.0,6.967843048,35,29.58,healthy
54.0,61.0,77.0,6.206582193,16,29.24,healthy
38.0,60.0,76.0,8.868741443,90,29.03,ph_stress_alkaline
59.0,55.0,79.0,8.766128654,33,28.83,ph_stress_alkaline
36.0,76.0,75.0,8.736337905,40,28.68,ph_stress_alkaline
57.0,68.0,81.0,8.081095263,75,28.54,ph_stress_alkaline
35.0,66.0,81.0,6.138243973,43,28.34,healthy
35.0,64.0,78.0,7.496645259,87,28.14,ph_stress_alkaline
52.0,60.0,79.0,8.380185271,90,28.22,ph_stress_alkaline
27.0,76.0,83.0,6.289614016,67,28.3,healthy
57.0,60.0,84.0,6.586777189,83,28.09,healthy
52.0,68.0,78.0,6.89655198,85,27.88,healthy
43.0,79.0,79.0,7.806747656,62,27.74,ph_stress_alkaline
44.0,74.0,85.0,7.150681303,88,27.61,healthy
24.0,55.0,78.0,6.64919573,10,27.38,water_stress
29.0,77.0,75.0,7.778591618,20,27.16,ph_stress_alkaline
20.0,60.0,78.0,6.358740355,62,26.84,healthy
56.0,67.0,78.0,8.255450758,50,26.52,ph_stress_alkaline
37.0,66.0,85.0,6.456148474,35,26.29,healthy
49.0,71.0,76.0,6.613072145,83,26.06,healthy
59.0,69.0,80.0,8.165359297,5,25.94,ph_stress_alkaline
20.0,79.0,77.0,7.64867466,27,25.81,ph_stress_alkaline
24.0,56.0,85.0,6.545888558,34,25.73,healthy
51.0,72.0,75.0,7.104224797,32,25.65,healthy
57.0,73.0,85.0,7.358099622,30,25.59,healthy
22.0,64.0,82.0,6.4740245,63,25.53,healthy
52.0,73.0,79.0,7.840339389,61,25.51,ph_stress_alkaline
29.0,75.0,75.0,7.064790365,60,25.49,healthy
44.0,59.0,78.0,7.599033472,54,25.63,ph_stress_alkaline
41.0,69.0,82.0,6.715587232,71,25.77,healthy
52.0,56.0,85.0,6.81712422,14,25.8,healthy
34.0,76.0,80.0,7.985417393,39,25.82,ph_stress_alkaline
42.0,74.0,83.0,7.545258424,40,25.74,ph_stress_alkaline
34.0,71.0,79.0,7.728998197,50,25.65,ph_stress_alkaline
27.0,73.0,79.0,7.354973451,73,25.64,healthy
30.0,70.0,79.0,7.313122235,37,25.62,healthy
57.0,57.0,75.0,7.785039076,43,25.38,ph_stress_alkaline
27.0,79.0,82.0,6.307004923,76,25.15,healthy
32.0,71.0,85.0,6.403982316,53,25.04,healthy
31.0,76.0,82.0,7.599279991,71,24.94,ph_stress_alkaline
33.0,75.0,84.0,7.217018459,26,24.83,healthy
47.0,80.0,77.0,7.561108006,12,24.82,ph_stress_alkaline
54.0,62.0,80.0,7.489545074,67,24.82,ph_stress_alkaline
47.0,79.0,78.0,6.609696734,17,24.84,healthy
35.0,57.0,83.0,7.476800943,26,24.85,ph_stress_alkaline
53.0,73.0,77.0,7.325451279,78,24.91,healthy
45.0,61.0,78.0,6.489389282,30,24.97,healthy
37.0,78.0,79.0,7.786366322,20,24.88,ph_stress_alkaline
30.0,75.0,81.0,6.408437886,79,24.79,healthy
37.0,55.0,82.0,8.423873703,40,24.66,ph_stress_alkaline
53.0,65.0,76.0,8.719960893,10,24.52,ph_stress_alkaline
22.0,60.0,85.0,7.811997977,84,24.45,ph_stress_alkaline
60.0,61.0,78.0,6.317153205,11,24.38,water_stress
42.0,67.0,77.0,7.114405288,63,24.29,healthy
39.0,76.0,76.0,8.135900726,40,24.2,ph_stress_alkaline
35.0,63.0,76.0,7.714153038,33,24.11,ph_stress_alkaline
30.0,65.0,82.0,7.103798069,75,24.02,healthy
57.0,56.0,78.0,8.861479668,24,23.82,ph_stress_alkaline
48.0,65.0,78.0,7.861128148,65,23.62,ph_stress_alkaline
36.0,56.0,83.0,7.4526709,35,23.51,ph_stress_alkaline
40.0,58.0,75.0,7.168096055,44,23.4,healthy
49.0,69.0,82.0,7.26311855,39,23.33,healthy
13.0,60.0,25.0,5.68597166,13,23.26,nitrogen_deficiency
25.0,70.0,16.0,5.759237003,20,23.1,potassium_deficiency
31.0,55.0,22.0,5.873171894,82,22.94,healthy
40.0,64.0,16.0,5.926676985,72,22.85,potassium_deficiency
2.0,61.0,20.0,5.95561668,56,22.76,nitrogen_deficiency
26.0,65.0,22.0,5.949949081,14,22.56,healthy
17.0,57.0,21.0,5.789214289,25,22.36,healthy
26.0,80.0,18.0,5.581021521,13,22.42,potassium_deficiency
17.0,59.0,17.0,5.689858133,43,22.47,potassium_deficiency
27.0,59.0,22.0,5.794158504,62,22.41,healthy
28.0,58.0,24.0,5.748190463,56,22.35,healthy
25.0,57.0,19.0,5.566522896,60,22.46,ph_stress_acidic
28.0,80.0,17.0,5.809419584,89,22.58,potassium_deficiency
25.0,60.0,22.0,5.887263027,46,22.69,healthy
12.0,78.0,23.0,5.99812453,8,22.8,nitrogen_deficiency
6.0,77.0,25.0,5.792744849,13,22.77,nitrogen_deficiency
22.0,79.0,17.0,5.912289889,55,22.74,potassium_deficiency
27.0,80.0,15.0,5.788386951,65,22.6,potassium_deficiency
10.0,55.0,23.0,5.728233081,34,22.46,nitrogen_deficiency
23.0,65.0,20.0,5.833940084,55,22.24,healthy
19.0,78.0,16.0,5.967533236,32,22.03,potassium_deficiency
19.0,65.0,25.0,5.625096446,60,21.86,ph_stress_acidic
22.0,70.0,19.0,5.515615023,80,21.69,ph_stress_acidic
37.0,64.0,22.0,5.954665349,22,21.44,healthy
11.0,71.0,17.0,5.74644777,2,21.19,nitrogen_deficiency
18.0,79.0,20.0,5.877347515,31,21.12,healthy
21.0,63.0,17.0,5.979973965,59,21.04,potassium_deficiency
24.0,80.0,22.0,5.635993966,27,21.38,healthy
34.0,60.0,22.0,5.635231778,42,21.71,healthy
16.0,75.0,21.0,5.679224346,19,21.76,nitrogen_deficiency
17.0,77.0,23.0,5.670062975,37,21.81,healthy
37.0,72.0,18.0,5.724242065,17,21.64,potassium_deficiency
40.0,73.0,20.0,5.811314232,42,21.46,healthy
9.0,77.0,17.0,5.783425416,90,21.37,nitrogen_deficiency
1.0,62.0,23.0,5.607808432,27,21.28,nitrogen_deficiency
33.0,59.0,22.0,5.946999529,12,21.33,water_stress
23.0,59.0,19.0,5.852046999,26,21.38,healthy
6.0,62.0,22.0,5.824090984,35,21.28,nitrogen_deficiency
25.0,63.0,20.0,5.502999119,84,21.19,ph_stress_acidic
7.0,79.0,23.0,5.821649914,44,21.16,nitrogen_deficiency
8.0,72.0,17.0,5.711439256,90,21.13,nitrogen_deficiency
27.0,64.0,15.0,5.514927264,6,21.02,potassium_deficiency
28.0,66.0,23.0,5.99616119,70,20.92,healthy
32.0,57.0,18.0,5.695422863,76,20.82,potassium_deficiency
27.0,56.0,22.0,5.833010958,7,20.71,water_stress
17.0,77.0,24.0,5.568456899,87,20.72,ph_stress_acidic
0.0,65.0,15.0,5.645435626,86,20.72,nitrogen_deficiency
13.0,72.0,21.0,5.821194486,64,20.73,nitrogen_deficiency
34.0,60.0,23.0,5.659254981,15,20.74,healthy
9.0,80.0,19.0,5.945465949,18,20.6,nitrogen_deficiency
11.0,72.0,20.0,5.951177452,50,20.46,nitrogen_deficiency
3.0,67.0,24.0,5.520880014,36,20.38,nitrogen_deficiency
35.0,69.0,23.0,5.578410206,81,20.3,ph_stress_acidic
3.0,77.0,25.0,5.608165195,66,20.22,nitrogen_deficiency
23.0,62.0,19.0,5.609435128,86,20.14,ph_stress_acidic
22.0,71.0,17.0,5.509295379,5,20.12,potassium_deficiency
31.0,79.0,25.0,5.902033406,85,20.09,healthy
34.0,59.0,18.0,5.744117663,14,20.01,potassium_deficiency
12.0,63.0,17.0,5.717143397,32,19.93,nitrogen_deficiency
27.0,56.0,20.0,5.542690119,3,19.85,ph_stress_acidic
7.0,63.0,24.0,5.858617867,20,19.62,nitrogen_deficiency
24.0,67.0,22.0,5.618844277,53,19.4,ph_stress_acidic
11.0,71.0,24.0,5.606620346,9,19.21,nitrogen_deficiency
37.0,74.0,15.0,5.582178402,6,19.02,potassium_deficiency
25.0,76.0,24.0,5.56503533,79,18.74,ph_stress_acidic
34.0,66.0,17.0,5.889614577,76,18.45,potassium_deficiency
20.0,69.0,15.0,5.934136378,77,18.28,potassium_deficiency
37.0,65.0,16.0,5.683548308,63,18.11,potassium_deficiency
18.0,74.0,15.0,5.70836603,3,18.01,potassium_deficiency
4.0,67.0,25.0,5.948164454,40,17.91,nitrogen_deficiency
37.0,56.0,25.0,5.774755144,31,18.06,healthy
5.0,59.0,15.0,5.97229163,90,18.22,nitrogen_deficiency
11.0,61.0,21.0,5.532100554,8,18.24,nitrogen_deficiency
22.0,80.0,20.0,5.669560726,37,18.25,healthy
12.0,61.0,19.0,5.655726817,22,18.24,nitrogen_deficiency
5.0,74.0,21.0,5.591704014,70,18.22,nitrogen_deficiency
27.0,69.0,22.0,5.932323085,84,18.26,healthy
31.0,75.0,18.0,5.824208309,29,18.3,potassium_deficiency
36.0,68.0,20.0,5.86442953,18,18.32,healthy
5.0,65.0,16.0,5.866744372,82,18.33,nitrogen_deficiency
32.0,79.0,15.0,5.706198621,86,18.34,potassium_deficiency
11.0,78.0,22.0,5.940546818,12,18.36,nitrogen_deficiency
0.0,55.0,22.0,5.916779289,64,18.58,nitrogen_deficiency
14.0,59.0,15.0,5.779090476,16,18.8,nitrogen_deficiency
29.0,68.0,23.0,5.82738029,47,19.12,healthy
32.0,68.0,19.0,5.514234138,51,19.44,ph_stress_acidic
17.0,64.0,17.0,5.662699104,5,19.71,potassium_deficiency
13.0,69.0,19.0,5.86390397,90,19.98,nitrogen_deficiency
14.0,67.0,22.0,5.624690248,32,20.46,nitrogen_deficiency
9.0,69.0,20.0,5.591560999,16,20.94,nitrogen_deficiency
20.0,73.0,22.0,5.976312538,42,21.43,healthy
40.0,78.0,20.0,5.669236258,86,21.91,healthy
27.0,72.0,23.0,5.961934481,86,22.48,healthy
14.0,67.0,15.0,5.690065688,80,23.06,nitrogen_deficiency
7.0,56.0,18.0,5.698371311,58,23.64,nitrogen_deficiency
27.0,65.0,18.0,5.59503163,90,24.22,potassium_deficiency
30.0,63.0,16.0,5.525904526,78,24.66,potassium_deficiency
37.0,70.0,25.0,5.819403771,38,25.1,healthy
27.0,63.0,19.0,5.562201934,39,25.65,ph_stress_acidic
22.0,60.0,24.0,5.630664753,9,26.19,water_stress
3.0,72.0,24.0,6.03160778,73,26.74,nitrogen_deficiency
40.0,59.0,23.0,5.269084669,77,27.3,ph_stress_acidic
33.0,73.0,23.0,5.985792703,16,27.61,healthy
27.0,57.0,24.0,6.09186275,56,27.92,healthy
10.0,79.0,18.0,5.624731338,8,28.06,nitrogen_deficiency
30.0,75.0,25.0,6.446091759,27,28.2,healthy
40.0,70.0,20.0,5.623490043,29,28.35,ph_stress_acidic
38.0,55.0,19.0,5.864623352,17,28.49,healthy
35.0,58.0,20.0,5.761702519,60,28.8,healthy
38.0,61.0,21.0,4.696518678,20,29.12,ph_stress_acidic
33.0,58.0,24.0,5.269504214,82,29.65,ph_stress_acidic
16.0,56.0,17.0,7.445444883,59,30.17,nitrogen_deficiency
31.0,72.0,17.0,5.833031708,46,30.53,potassium_deficiency
16.0,80.0,20.0,7.339320929,35,30.9,nitrogen_deficiency
27.0,72.0,17.0,6.347929353,67,31.26,potassium_deficiency
40.0,62.0,19.0,4.697750704,76,31.62,ph_stress_acidic
18.0,58.0,16.0,4.962661422,2,31.62,potassium_deficiency
3.0,68.0,16.0,4.964887857,20,31.62,nitrogen_deficiency
26.0,67.0,24.0,5.642813116,36,31.92,healthy
16.0,70.0,20.0,5.6093956,86,32.21,nitrogen_deficiency
24.0,63.0,19.0,4.681576043,7,32.44,ph_stress_acidic
9.0,76.0,25.0,5.70951224,82,32.66,nitrogen_deficiency
16.0,55.0,19.0,6.413543781,20,33.02,nitrogen_deficiency
28.0,75.0,21.0,6.007508163,65,33.38,healthy
16.0,71.0,24.0,4.946369874,32,33.16,nitrogen_deficiency
24.0,70.0,21.0,5.517208078,72,32.94,ph_stress_acidic
38.0,72.0,21.0,5.902103172,73,33.2,healthy
9.0,66.0,21.0,5.719889876,8,33.45,nitrogen_deficiency
34.0,56.0,17.0,4.548202098,7,33.65,potassium_deficiency
1.0,76.0,19.0,6.669529416,58,33.84,nitrogen_deficiency
6.0,69.0,19.0,4.750929218,68,34.03,nitrogen_deficiency
26.0,73.0,21.0,4.946263888,65,34.22,ph_stress_acidic
27.0,61.0,18.0,5.266227032,31,34.36,potassium_deficiency
27.0,71.0,23.0,7.10959773,54,34.51,healthy
36.0,61.0,21.0,5.617008201,12,34.57,ph_stress_acidic
17.0,73.0,18.0,5.632353113,78,34.63,potassium_deficiency
26.0,72.0,22.0,4.674941549,72,34.75,ph_stress_acidic
17.0,64.0,16.0,7.161797643,17,34.86,potassium_deficiency
14.0,74.0,19.0,6.624966131,11,34.76,nitrogen_deficiency
39.0,60.0,15.0,5.004074624,64,34.66,potassium_deficiency
6.0,66.0,15.0,6.345806011,72,34.74,nitrogen_deficiency
8.0,59.0,18.0,6.216814453,22,34.81,nitrogen_deficiency
2.0,67.0,18.0,5.921666758,36,34.3,nitrogen_deficiency
1.0,76.0,17.0,6.012719118,18,33.8,nitrogen_deficiency
16.0,73.0,19.0,4.684079249,84,33.34,nitrogen_deficiency
23.0,75.0,25.0,7.077170002,21,32.89,healthy
32.0,70.0,20.0,6.208843215,56,32.86,healthy
28.0,59.0,22.0,7.05181629,73,32.83,healthy
5.0,62.0,23.0,4.722222454,79,33.33,nitrogen_deficiency
36.0,67.0,25.0,6.418062652,56,33.82,healthy
1.0,66.0,23.0,4.803564468,82,33.83,nitrogen_deficiency
24.0,73.0,20.0,4.608695247,77,33.83,ph_stress_acidic
17.0,67.0,18.0,5.611510977,79,34.0,potassium_deficiency
